Test Number,Time min,Time max
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0.0431,0.0671
10,0.0435,0.0673
11,0.043,0.0671
12,0.0433,0.0673
13,0.0435,0.0671
14,0.043,0.0671
15,0.0433,0.0671
16,0.043,0.0668
17,0.0433,0.0671
18,0,0
19,0.043,0.0671
20,0.0428,0.0668
21,0.0428,0.0671
22,0.0428,0.0668
23,0.0428,0.0668
24,0.021,0.0455
25,0.021,0.0452
26,0.021,0.0455
27,0.021,0.0455
28,0.021,0.0457
29,0.0206,0.0446
30,0.0186,0.043
31,0.021,0.0455
32,0.021,0.0455
33,0.0206,0.0455
34,0.0208,0.0455
35,0.0186,0.0433
36,0.0212,0.0462
37,0.0213,0.0455
38,0.0206,0.0455
